2024/07/07 00:08:28 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.25.0.2:5173/", host: "localhost"
2024/07/07 00:08:29 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /node_modules/.vite/deps/chunk-EL3PUDHE.js?v=0a11b56e HTTP/1.1", upstream: "http://172.25.0.2:5173/node_modules/.vite/deps/chunk-EL3PUDHE.js?v=0a11b56e", host: "localhost", referrer: "http://localhost/node_modules/.vite/deps/react-dom_client.js?v=0a11b56e"
2024/07/07 00:08:29 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/recover-password.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/recover-password.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:29 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/login.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/login.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:29 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/_layout.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/_layout.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:29 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/_layout/index.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/_layout/index.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:29 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/_layout/settings.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/_layout/settings.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:29 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/_layout/items.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/_layout/items.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:29 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/_layout/admin.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/_layout/admin.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:29 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/core/ApiError.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/core/ApiError.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:29 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/core/CancelablePromise.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/core/CancelablePromise.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:29 [warn] 173#173: *25 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/core/OpenAPI.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/core/OpenAPI.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:29 [warn] 173#173: *27 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 172.25.0.1, server: localhost, request: "GET /node_modules/.vite/deps/chunk-3HOHBJ6D.js?v=0a11b56e HTTP/1.1", upstream: "http://172.25.0.2:5173/node_modules/.vite/deps/chunk-3HOHBJ6D.js?v=0a11b56e", host: "localhost", referrer: "http://localhost/node_modules/.vite/deps/@chakra-ui_react.js?v=0a11b56e"
2024/07/07 00:08:29 [warn] 173#173: *30 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/models.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/models.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:29 [warn] 173#173: *27 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /node_modules/.vite/deps/chunk-3HOHBJ6D.js?v=0a11b56e HTTP/1.1", upstream: "http://172.25.0.2:5173/node_modules/.vite/deps/chunk-3HOHBJ6D.js?v=0a11b56e", host: "localhost", referrer: "http://localhost/node_modules/.vite/deps/@chakra-ui_react.js?v=0a11b56e"
2024/07/07 00:08:29 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/schemas.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/schemas.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:29 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/services.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/services.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:29 [warn] 173#173: *25 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/NotFound.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/NotFound.tsx", host: "localhost", referrer: "http://localhost/src/routes/__root.tsx"
2024/07/07 00:08:29 [warn] 173#173: *29 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.25.0.2:5173/", host: "localhost"
2024/07/07 00:08:29 [warn] 173#173: *30 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/hooks/useAuth.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/hooks/useAuth.ts", host: "localhost", referrer: "http://localhost/src/routes/reset-password.tsx"
2024/07/07 00:08:29 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/hooks/useCustomToast.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/hooks/useCustomToast.ts", host: "localhost", referrer: "http://localhost/src/routes/reset-password.tsx"
2024/07/07 00:08:29 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/utils.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/utils.ts", host: "localhost", referrer: "http://localhost/src/routes/reset-password.tsx"
2024/07/07 00:08:29 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /assets/images/fastapi-logo.svg?import HTTP/1.1", upstream: "http://172.25.0.2:5173/assets/images/fastapi-logo.svg?import", host: "localhost", referrer: "http://localhost/src/routes/login.tsx"
2024/07/07 00:08:29 [warn] 173#173: *25 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/Sidebar.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/Sidebar.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout.tsx"
2024/07/07 00:08:29 [warn] 173#173: *27 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/UserMenu.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/UserMenu.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout.tsx"
2024/07/07 00:08:29 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/UserSettings/Appearance.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/UserSettings/Appearance.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/settings.tsx"
2024/07/07 00:08:29 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/UserSettings/ChangePassword.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/UserSettings/ChangePassword.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/settings.tsx"
2024/07/07 00:08:29 [warn] 173#173: *30 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/UserSettings/DeleteAccount.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/UserSettings/DeleteAccount.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/settings.tsx"
2024/07/07 00:08:29 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/UserSettings/UserInformation.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/UserSettings/UserInformation.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/settings.tsx"
2024/07/07 00:08:29 [warn] 173#173: *25 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /node_modules/.vite/deps/chunk-Z43TZB5X.js?v=0a11b56e HTTP/1.1", upstream: "http://172.25.0.2:5173/node_modules/.vite/deps/chunk-Z43TZB5X.js?v=0a11b56e", host: "localhost", referrer: "http://localhost/node_modules/.vite/deps/@chakra-ui_icons.js?v=0a11b56e"
2024/07/07 00:08:29 [warn] 173#173: *27 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/ActionsMenu.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/ActionsMenu.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/items.tsx"
2024/07/07 00:08:29 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/Navbar.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/Navbar.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/items.tsx"
2024/07/07 00:08:29 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/core/request.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/core/request.ts", host: "localhost", referrer: "http://localhost/src/client/services.ts"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.25.0.2:5173/", host: "localhost"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /@vite/client HTTP/1.1", upstream: "http://172.25.0.2:5173/@vite/client", host: "localhost", referrer: "http://localhost/"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/main.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/main.tsx", host: "localhost", referrer: "http://localhost/"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /@react-refresh HTTP/1.1", upstream: "http://172.25.0.2:5173/@react-refresh", host: "localhost", referrer: "http://localhost/"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /node_modules/vite/dist/client/env.mjs HTTP/1.1", upstream: "http://172.25.0.2:5173/node_modules/vite/dist/client/env.mjs", host: "localhost", referrer: "http://localhost/@vite/client"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routeTree.gen.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routeTree.gen.ts", host: "localhost", referrer: "http://localhost/src/main.tsx"
2024/07/07 00:08:38 [warn] 173#173: *27 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/index.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/index.ts", host: "localhost", referrer: "http://localhost/src/main.tsx"
2024/07/07 00:08:38 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/theme.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/theme.tsx", host: "localhost", referrer: "http://localhost/src/main.tsx"
2024/07/07 00:08:38 [warn] 173#173: *58 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.25.0.2:5173/", host: "localhost"
2024/07/07 00:08:38 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/__root.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/__root.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:38 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/reset-password.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/reset-password.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:38 [warn] 173#173: *27 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/recover-password.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/recover-password.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/login.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/login.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:38 [warn] 173#173: *30 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/_layout.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/_layout.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:38 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/_layout/index.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/_layout/index.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:38 [warn] 173#173: *25 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/_layout/settings.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/_layout/settings.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:38 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/core/ApiError.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/core/ApiError.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:38 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/_layout/items.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/_layout/items.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:38 [warn] 173#173: *27 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routes/_layout/admin.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/routes/_layout/admin.tsx", host: "localhost", referrer: "http://localhost/src/routeTree.gen.ts"
2024/07/07 00:08:38 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/core/CancelablePromise.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/core/CancelablePromise.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:38 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/core/OpenAPI.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/core/OpenAPI.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:38 [warn] 173#173: *25 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/models.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/models.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:38 [warn] 173#173: *30 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/schemas.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/schemas.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/services.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/services.ts", host: "localhost", referrer: "http://localhost/src/client/index.ts"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/NotFound.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/NotFound.tsx", host: "localhost", referrer: "http://localhost/src/routes/__root.tsx"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/client/core/request.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/client/core/request.ts", host: "localhost", referrer: "http://localhost/src/client/services.ts"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/hooks/useAuth.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/hooks/useAuth.ts", host: "localhost", referrer: "http://localhost/src/routes/reset-password.tsx"
2024/07/07 00:08:38 [warn] 173#173: *25 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/hooks/useCustomToast.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/hooks/useCustomToast.ts", host: "localhost", referrer: "http://localhost/src/routes/reset-password.tsx"
2024/07/07 00:08:38 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/utils.ts HTTP/1.1", upstream: "http://172.25.0.2:5173/src/utils.ts", host: "localhost", referrer: "http://localhost/src/routes/reset-password.tsx"
2024/07/07 00:08:38 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /assets/images/fastapi-logo.svg?import HTTP/1.1", upstream: "http://172.25.0.2:5173/assets/images/fastapi-logo.svg?import", host: "localhost", referrer: "http://localhost/src/routes/login.tsx"
2024/07/07 00:08:38 [warn] 173#173: *27 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/Sidebar.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/Sidebar.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout.tsx"
2024/07/07 00:08:38 [warn] 173#173: *30 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /node_modules/.vite/deps/chunk-Z43TZB5X.js?v=0a11b56e HTTP/1.1", upstream: "http://172.25.0.2:5173/node_modules/.vite/deps/chunk-Z43TZB5X.js?v=0a11b56e", host: "localhost", referrer: "http://localhost/node_modules/.vite/deps/@chakra-ui_icons.js?v=0a11b56e"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/UserMenu.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/UserMenu.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout.tsx"
2024/07/07 00:08:38 [warn] 173#173: *25 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/UserSettings/Appearance.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/UserSettings/Appearance.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/settings.tsx"
2024/07/07 00:08:38 [warn] 173#173: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/UserSettings/ChangePassword.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/UserSettings/ChangePassword.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/settings.tsx"
2024/07/07 00:08:38 [warn] 173#173: *4 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/UserSettings/DeleteAccount.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/UserSettings/DeleteAccount.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/settings.tsx"
2024/07/07 00:08:38 [warn] 173#173: *27 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/UserSettings/UserInformation.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/UserSettings/UserInformation.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/settings.tsx"
2024/07/07 00:08:38 [warn] 173#173: *30 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/ActionsMenu.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/ActionsMenu.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/items.tsx"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/Navbar.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/Navbar.tsx", host: "localhost", referrer: "http://localhost/src/routes/_layout/items.tsx"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/components/Common/SidebarItems.tsx HTTP/1.1", upstream: "http://172.25.0.2:5173/src/components/Common/SidebarItems.tsx", host: "localhost", referrer: "http://localhost/src/components/Common/Sidebar.tsx"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /assets/images/favicon.png HTTP/1.1", upstream: "http://172.25.0.2:5173/assets/images/favicon.png", host: "localhost", referrer: "http://localhost/"
2024/07/07 00:08:38 [warn] 173#173: *6 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /vite.svg HTTP/1.1", upstream: "http://172.25.0.2:5173/vite.svg", host: "localhost", referrer: "http://localhost/"
2024/07/07 00:09:11 [error] 185#185: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.25.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.25.0.3:5173/", host: "localhost"
2024/07/07 00:09:11 [warn] 185#185: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.25.0.3:5173/", host: "localhost"
2024/07/07 00:09:39 [warn] 185#185: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /littlebears/public/ HTTP/1.1", upstream: "http://172.25.0.3:5173/littlebears/public/", host: "localhost"
2024/07/07 00:09:39 [warn] 185#185: *2 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/main.tsx HTTP/1.1", upstream: "http://172.25.0.3:5173/src/main.tsx", host: "localhost", referrer: "http://localhost/littlebears/public/"
2024/07/07 00:09:39 [warn] 187#187: *7 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /@react-refresh HTTP/1.1", upstream: "http://172.25.0.3:5173/@react-refresh", host: "localhost", referrer: "http://localhost/littlebears/public/"
2024/07/07 00:09:39 [warn] 185#185: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /@vite/client HTTP/1.1", upstream: "http://172.25.0.3:5173/@vite/client", host: "localhost", referrer: "http://localhost/littlebears/public/"
2024/07/07 00:09:40 [warn] 185#185: *1 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /src/routeTree.gen.ts HTTP/1.1", upstream: "http://172.25.0.3:5173/src/routeTree.gen.ts", host: "localhost", referrer: "http://localhost/src/main.tsx"
2024/07/07 00:09:40 [warn] 187#187: *7 using uninitialized "server" variable while logging request, client: 172.25.0.1, server: localhost, request: "GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=d92ee15a HTTP/1.1", upstream: "http://172.25.0.3:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=d92ee15a", host: "localhost", referrer: "http://localhost/src/main.tsx"
